Year;Movie;Director_OMDb;Genre;Runtime_min;Rated;IMDb_Rating;IMDb_Votes;Metascore;Rotten_Tomatoes;total_awards;Oscars - Best Picture;BAFTA - Best film;Golden Globes - Best movie;PGA - Best Picutre;Oscars - Best Director;BAFTA - Best Director;Golden Globes - Best Director;Oscars - Best Screenplay;BAFTA - Best Screenplay;Golden Globes - Best Screenplay;Oscars - Best Montage;BAFTA - Best Montage;Oscars - Best Cinematography;BAFTA - Best Cinematography
2023;Avatar: The Way of Water;James Cameron;Action, Adventure, Animation;192.0;PG-13;7,5;618288.0;67.0;76.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2023;Top Gun: Maverick;Joseph Kosinski;Action, Drama;130.0;PG-13;8,2;866834.0;78.0;96.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2023;The Banshees of Inisherin;Martin McDonagh;Comedy, Drama;114.0;R;7,6;296048.0;87.0;96.0;3;0;0.0;1.0;0.0;0;0;0;0;1;1;0.0;0;0;0
2023;Triangle of Sadness;Ruben Östlund;Comedy, Drama;147.0;R;7,2;216685.0;63.0;72.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2023;Women Talking;Sarah Polley;Drama;104.0;PG-13;6,9;70164.0;77.0;90.0;1;0;0.0;0.0;0.0;0;0;0;1;0;0;0.0;0;0;0
2023;Elvis;Isaac Medeiros;Crime;80.0;PG-13;7,3;261536.0;64.0;77.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2023;The Fabelmans;Steven Spielberg;Drama;151.0;PG-13;7,5;134853.0;85.0;92.0;2;0;0.0;1.0;0.0;0;0;1;0;0;0;0.0;0;0;0
2023;Tár;Todd Field;Drama, Music;158.0;R;7,4;109657.0;93.0;91.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2022;Don't Look Up;Evan Marcewicz;Horror;138.0;R;7,1;659444.0;49.0;78.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2022;Nightmare Alley;Guillermo del Toro;Crime, Drama, Thriller;150.0;R;7;182647.0;70.0;80.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
